Results,Number of Threads-QP[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
,10,1000,8,0.8,0.09,13.87,216684.72
,1,1000,16,16,5.49,46.6,364099.76
,2,1000,16,8,1.41,45.44,354987.58
,3,1000,16,5.33,0.64,44.75,349589.23
,4,1000,16,4,0.47,34.02,265816.06
,5,1000,16,3.2,0.34,30.15,235571.26
,6,1000,16,2.67,0.28,25.84,201897.84
,7,1000,16,2.29,0.23,22.62,176694.05
,8,1000,16,2,0.21,19.14,149521.53
,9,1000,16,1.78,0.19,16.72,130642.11
,10,1000,16,1.6,0.16,16.21,126662.44
,1,1000,32,32,5.48,93.48,365163.41
,2,1000,32,16,1.44,89.07,347947.11
,3,1000,32,10.67,0.62,91.22,356315.7
,4,1000,32,8,0.46,69.08,269832.7
,5,1000,32,6.4,0.36,57.63,225098.48
,6,1000,32,5.33,0.28,50.98,199123.86
,7,1000,32,4.57,0.24,43.46,169764.88
,8,1000,32,4,0.21,38.39,149970.01
,9,1000,32,3.56,0.19,33.86,132275.13
,10,1000,32,3.2,0.16,31.16,121728.55
,1,1000,64,64,5.79,176.86,345423.14
,2,1000,64,32,1.42,180.54,352609.31
,3,1000,64,21.33,0.65,176.22,344174.84
,4,1000,64,16,0.45,142.06,277469.48
,5,1000,64,12.8,0.35,116.5,227531.29
,6,1000,64,10.67,0.28,102.69,200561.57
,7,1000,64,9.14,0.24,86.51,168961.73
,8,1000,64,8,0.21,75.61,147666.86
,9,1000,64,7.11,0.18,69.63,135998.91
,10,1000,64,6.4,0.16,62.71,122473.97
,1,1000,128,128,5.92,345.89,337780.78
,2,1000,128,64,1.51,338.18,330250.99
,3,1000,128,42.67,0.68,333.33,325520.83
,4,1000,128,32,0.45,286.19,279485.75
,5,1000,128,25.6,0.34,242.22,236546.42
,6,1000,128,21.33,0.28,199.61,194931.77
,7,1000,128,18.29,0.24,177.53,173370.32
,8,1000,128,16,0.21,153.94,150330.73
,9,1000,128,14.22,0.18,138.33,135089.5
,10,1000,128,12.8,0.16,125.11,122174.71
,1,1000,256,256,6.32,647.69,316255.53
,2,1000,256,128,1.56,657.04,320821.3
,3,1000,256,85.33,0.68,671.92,328083.99
,4,1000,256,64,0.45,569.52,278086.76
,5,1000,256,51.2,0.34,482.17,235432.61
,6,1000,256,42.67,0.28,403.71,197122.02
,7,1000,256,36.57,0.24,354.85,173265.18
,8,1000,256,32,0.21,308.81,150784.08
,9,1000,256,28.44,0.18,274.33,133949.5
,10,1000,256,25.6,0.16,255.2,124610.59
,1,1000,512,512,6.25,1311.14,320102.43
,2,1000,512,256,1.64,1249.54,305064.06
,3,1000,512,170.67,0.71,1288.05,314465.41
,4,1000,512,128,0.44,1168.95,285388.13
,5,1000,512,102.4,0.33,986.39,240818.78
,6,1000,512,85.33,0.28,800.78,195503.42
,7,1000,512,73.14,0.24,692.07,168961.73
,8,1000,512,64,0.2,624.39,152439.02
