Results,,,,,,
Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
5,5000,8,1.6,20.057,3.1908,99714
6,6000,8,1.3333,16.829,2.8522,118840
7,7000,8,1.1429,14.501,2.2067,137920
8,8000,8,1,12.809,1.2492,156140
9,9000,8,0.88889,5.6899,22.496,351500
10,10000,8,0.8,4.9489,25.864,404130
1,1000,16,16,49.706,5.1503,40237
2,2000,16,8,25.47,5.0256,78525
3,3000,16,5.3333,17.538,5.4737,114040
4,4000,16,4,24.5,2.6122,81632
5,5000,16,3.2,19.959,3.2065,100200
6,6000,16,2.6667,17.506,5.4837,114240
7,7000,16,2.2857,15.298,4.1835,130730
8,8000,16,2,13.016,2.4585,153660
9,9000,16,1.7778,11.743,10.9,170320
10,10000,16,1.6,10.504,10.662,190400
1,1000,32,32,51.298,9.9809,38988
2,2000,32,16,25.454,10.057,78573
3,3000,32,10.667,21.257,9.0322,94085
4,4000,32,8,19.845,6.45,100780
5,5000,32,6.4,21.004,6.0942,95222
6,6000,32,5.3333,16.878,6.6357,118500
7,7000,32,4.5714,14.769,8.6666,135420
8,8000,32,4,12.791,5.0036,156360
9,9000,32,3.5556,11.572,11.061,172830
10,10000,32,3.2,12.401,6.4511,161280
1,1000,64,64,52.111,19.65,38380
2,2000,64,32,29.942,17.099,66795
3,3000,64,21.333,22.208,15.85,90058
4,4000,64,16,19.996,12.803,100020
5,5000,64,12.8,20.205,12.67,98987
6,6000,64,10.667,16.833,13.307,118810
7,7000,64,9.1429,14.471,11.057,138210
8,8000,64,8,14.419,8.8773,138710
9,9000,64,7.1111,11.44,11.189,174830
10,10000,64,6.4,10.66,15.009,187620
1,1000,128,128,50.074,40.899,39941
2,2000,128,64,36.669,27.925,54542
3,3000,128,42.667,17.957,39.205,111380
4,4000,128,32,24.127,21.221,82895
5,5000,128,25.6,18.079,24.78,110620
6,6000,128,21.333,16.814,21.887,118950
7,7000,128,18.286,14.473,22.11,138190
8,8000,128,16,12.762,20.059,156710
9,9000,128,14.222,12.102,21.154,165260
10,10000,128,12.8,11.295,28.332,177070
1,1000,256,256,51.203,79.995,39060
2,2000,256,128,52.002,39.383,38460
3,3000,256,85.333,33.037,41.65,60538
4,4000,256,64,25.058,40.865,79814
5,5000,256,51.2,20.291,41.004,98567
6,6000,256,42.667,17.38,42.348,115080
7,7000,256,36.571,15.445,41.438,129490
8,8000,256,32,14.015,36.533,142710
9,9000,256,28.444,12.167,42.083,164390
10,10000,256,25.6,12.146,40.838,164670
1,1000,512,512,68.501,119.59,29197
2,2000,512,256,51.422,79.654,38893
3,3000,512,170.67,33.077,83.199,60464
4,4000,512,128,25.992,78.792,76945
5,5000,512,102.4,20.203,82.363,98994
6,6000,512,85.333,16.977,81.994,117810
7,7000,512,73.143,14.932,79.293,133940
8,8000,512,64,18.185,56.31,109980
9,9000,512,56.889,12.899,79.385,155050
10,10000,512,51.2,10.455,81.106,191290
1,1000,1024,1024,159.04,103.02,12576
2,2000,1024,512,73.425,111.57,27238
3,3000,1024,341.33,48.938,111.82,40868
4,4000,1024,256,26.92,152.15,74294
5,5000,1024,204.8,21.632,153.85,92456
6,6000,1024,170.67,18.819,147.94,106280
