Results
Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
5,5000,32768,6553.6,403.43,1299.6,4957.5
6,6000,32768,5461.3,433.93,1208.2,4609.1
7,7000,32768,4681.1,389.92,1344.6,5129.3
8,8000,32768,4096,421.4,1244.1,4746
9,9000,32768,3640.9,386.43,1356.8,5175.6
1,1000,65536,65536,1023.3,1024.7,1954.5
2,2000,65536,32768,741.69,1413.8,2696.5
3,3000,65536,21845,574.37,1825.6,3482.1
4,4000,65536,16384,524.6,1998.8,3812.4
5,5000,65536,13107,481.13,2179.4,4156.9
6,6000,65536,10923,463.95,2260.1,4310.8
7,7000,65536,9362.3,458.75,2285.7,4359.7
8,8000,65536,8192,442.34,2370.5,4521.4
9,9000,65536,7281.8,397.53,2637.7,5031
1,1000,131072,1.3107e+05,1669.8,1255.9,1197.8
2,2000,131072,65536,1001.6,2093.8,1996.8
3,3000,131072,43691,827.3,2534.9,2417.5
4,4000,131072,32768,735.34,2852,2719.8
5,5000,131072,26214,636.42,3295.2,3142.6
6,6000,131072,21845,575.41,3644.6,3475.8
7,7000,131072,18725,568.69,3687.7,3516.9
8,8000,131072,16384,529.79,3958.5,3775.1
9,9000,131072,14564,500.55,4189.7,3995.6
1,1000,262144,2.6214e+05,2898.2,1447.2,690.08
2,2000,262144,1.3107e+05,1659.8,2527,1205
3,3000,262144,87381,1236.7,3391.5,1617.2
4,4000,262144,65536,1020.5,4110.1,1959.8
5,5000,262144,52429,898.26,4669.4,2226.5
6,6000,262144,43691,825.76,5079.3,2422
7,7000,262144,37449,777.98,5391.3,2570.8
8,8000,262144,32768,725.72,5779.5,2755.9
9,9000,262144,29127,664.21,6314.8,3011.1
1,1000,524288,5.2429e+05,5154.9,1627.3,387.98
2,2000,524288,2.6214e+05,2953.4,2840.3,677.19
3,3000,524288,1.7476e+05,2095.3,4003.5,954.5
4,4000,524288,1.3107e+05,1672.8,5014.8,1195.6
5,5000,524288,1.0486e+05,1404.2,5974.1,1424.3
6,6000,524288,87381,1244.5,6740.4,1607
7,7000,524288,74898,1122.5,7473.4,1781.8
8,8000,524288,65536,1016.4,8253.3,1967.7
9,9000,524288,58254,951.42,8817,2102.1
1,1000,1.04858e+06,1.0486e+06,9668.7,1735.2,206.85
2,2000,1.04858e+06,5.2429e+05,5111.1,3282.5,391.3
