Results,Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
,5,1000,524288,104857.6,8.6,39034.94,9306.65
,6,1000,524288,87381.33,5.88,39635.46,9449.83
,7,1000,524288,74898.29,4.54,37688.23,8985.57
,8,1000,524288,65536,3.62,36193.99,8629.32
,9,1000,524288,58254.22,2.79,37132.69,8853.12
,10,1000,524288,52428.8,2.28,36835.76,8782.33
,1,1000,1048576,1048576,584.85,28686.5,3419.7
,2,1000,1048576,524288,102.84,40783.56,4861.78
,3,1000,1048576,349525.33,36.49,51090.86,6090.5
,4,1000,1048576,262144,22.12,47399.16,5650.42
,5,1000,1048576,209715.2,14.35,46770.97,5575.53
,6,1000,1048576,174762.67,10.09,46171.67,5504.09
,7,1000,1048576,149796.57,7.77,44057.01,5252
,8,1000,1048576,131072,5.72,45830.37,5463.41
,9,1000,1048576,116508.44,4.46,46441.99,5536.32
,10,1000,1048576,104857.6,4.19,40036.31,4772.7
